,address.id,street.address,street.address.written,buisiness.name,id.sexworkers,page.number,race.id,madame,page,ad.size,phone.,listed,ethnicities.mentioned,city,state
1,1,1400 Iberville Street,,Casino Cabaret,"134,641,642,643,644,000,000,000,000,000,000,000,000","15, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63","white,white,white,white,white,white,white,white,white,white,white,white,white",,63,3-Jan,,checked,,New Orleans,Louisiana
2,2,206 N. Crozat Street,206-208 N. Franklin St,Ranch Cabaret,"703,704,702,700,701,705,709,706,707,94,171,708","67, 67, 67, 67, 67, 67, 67, 67, 67, 11, 17, 67","white,white,white,white,white,white,white,white,white,white,white,white",,67,3-Jan,,checked,,New Orleans,Louisiana
3,3,225 N. Basin Street,225 N. Basin,The Arlington,"1,2,43,61,92,106,222,235,277,358,366,365,732","5, 5, 7, 9, 11, 13, 21, 23, 25, 33, 33, 33, 66","white,white,white,white,white,white,white,white,white,white,white,white,white",Josie Arlington,66,1,,checked,,New Orleans,Louisiana
4,4,223 N. Basin Street,223 N. Basin,Miss Jessie Brown,"32,33,166,205,238,239,317,316,354,355,387,386,385","7, 7, 17, 19, 23, 23, 29, 29, 33, 33, 35, 35, 35","white,white,white,white,white,white,white,white,white,white,white,white,white",Jessie Brown,69,1,788 Main,checked,,New Orleans,Louisiana
5,5,341 N. Basin Street,341 N. Basin,Miss W. O. Barrera,"108,126,148,281,393,000","13, 13, 15, 25, 35, 68","white,white,white,white,white",,68,1,,checked,,New Orleans,Louisiana
6,6,320 N. Crozat Street,320 N. Franklin,The Cairo,"46,63,390,731","7, 9, 35, 70","white,white,white",,70,1,Main 1647,checked,,New Orleans,Louisiana
7,7,227 N. Basin Street,227 N. Basin,Miss Martha Clark,,,,Martha Clark,71,1,,checked,,New Orleans,Louisiana
8,8,135 N. Crozat Street,135 N. Franklin Street,Lala Cabaret,"710,711,712,714,713,000,000,000","67, 67, 67, 67, 67, 67, 67, 67","white,white,colored,colored,colored,colored,colored,colored",,67,3-Jan,,checked,,New Orleans,Louisiana
9,9,1500 Iberville Street,1500 Iberville St.,New Manhattan Cabaret,"720,719,718,723,724,000,000,000,000,000","67, 67, 67, 67, 67, 67, 67, 67, 67, 67","colored,colored,colored,colored,colored,colored,colored,colored,colored,colored",,67,3-Jan,,checked,,New Orleans,Louisiana
10,10,1501 Bienville Street,,Abadie Cabaret,"653,654,655,657,656","63, 63, 63, 63, 63","white,white,white,white,white",,63,3-Jan,,checked,,New Orleans,Louisiana
11,11,1216 Bienville Street,,My Place Cabaret,"658,659,660,661,665,000,000,000","63, 63, 63, 63, 63, 63, 63, 63","white,white,white,white,white,white,white,white",,63,3-Jan,,checked,,New Orleans,Louisiana
12,12,135 N. Basin Street,135 North Basin Street,Union Cabaret,"666,667,669,670,671,000,000,000,000,000,000,000,000,000,000,000","65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65","white,white,white,white,white,white,white,white,white,white,white,white,white,white,white,white",,65,3-Jan,,checked,,New Orleans,Louisiana
13,13,1501 Iberville Street,,Rice Cafe and Cabaret,"682,683,684,686,685,000,000","65, 65, 65, 65, 65, 65, 65","white,white,white,white,white,white,white",,65,3-Jan,,checked,,New Orleans,Louisiana
